Compound,R1,R2,R3,pEC50,SMILES
MKT-077,H,CC,CC,5.66,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
YM-01,H,CC,C,5.28,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
1,F,CC,C,5.66,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
2,F,CC,C,4.74,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
3,F,CC,C,5.21,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
4,F,CC,C,5.07,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
5,F,CC,CC,6.0,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
6,F,CC,CC,5.62,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
7,F,CC,CC,6.05,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
8,F,CC,CC,6.1,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
9,Cl,CC,C,5.11,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
10,Cl,CC,C,4.55,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
11,Cl,CC,C,5.02,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
12,Cl,CC,C,5.28,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
13,OC,CC,C,4.85,CCN1C(=O)C(=C2SC3=CC=C(OC)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
14,OC,CC,C,4.96,CCN1C(=O)C(=C2SC3=CC=C(OC)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
15,C(F)(F)(F),CC,C,4.52,CCN1C(=O)C(=C2SC3=CC=C(C(F)(F)F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
16,C(F)(F)(F),CC,C,4.52,CCN1C(=O)C(=C2SC3=CC=C(C(F)(F)F)C=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
17,H,CC=C,C,5.08,C=CC[N+]1=CC=CC=C1C=C1SC(=C2SC3=CC=CC=C3N2C)C(=O)N1C.[Cl-]
18,H,CC=1(C=CC=CC1),C,5.54,CN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
19,H,CC,CCC,5.55,CCC[N+]1=CC=CC=C1C=C1SC(=C2SC3=CC=CC=C3N2C)C(=O)N1CC.[Cl-]
20,H,CC,CC=1(C=CC=CC1),5.82,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
21,H,CC,CCO,5.16,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CCO.[Cl-]
24,H,CC,C,6.15,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1C.[Cl-]
25,H,CC,CC,6.1,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CC.[Cl-]
26,H,CC,CC=1(C=CC=CC1),6.22,CCN1C(=O)C(=C2SC3=CC=CC=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
27,F,CC,CC=1(C=CC=CC1),6.0,CCN1C(=O)C(=C2SC3=CC=C(F)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
28,Cl,CC,CC=1(C=CC=CC1),6.4,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
29,Cl,CC,CC=1(C=CC=CC1),6.22,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
30,Cl,CC,CC=1(C=CC=CC1),6.4,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
31,Cl,CC,CC=1(C=CC=CC1),6.3,CCN1C(=O)C(=C2SC3=CC=C(Cl)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
32,Br,CC,CC=1(C=CC=CC1),6.36,CCN1C(=O)C(=C2SC3=CC=C(Br)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
33,Br,CC,CC=1(C=CC=CC1),6.57,CCN1C(=O)C(=C2SC3=CC=C(Br)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
34,N(O)(O),CC,CC=1(C=CC=CC1),5.3,CCN1C(=O)C(=C2SC3=CC=C(N(O)O)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
35,S(O)(O)C,CC,CC=1(C=CC=CC1),5.3,CCN1C(=O)C(=C2SC3=CC=C(S(C)(O)O)C=C3N2C)SC1=CC1=CC=CC=[N+]1CC1=CC=CC=C1.[Cl-]
