Descriptor                     coef    stderr          t      pvals      y      z
ABC             5.169e-07   1.03e-06      0.502      0.620   -1.61e-06    2.64e-06
ABCGG           -4.91e-05   1.54e-05     -3.178      0.004    -8.1e-05   -1.72e-05
nAcid           8.794e-13   6.26e-13      1.406      0.173   -4.12e-13    2.17e-12
nBase          -3.399e-13   2.04e-13     -1.664      0.109   -7.61e-13    8.16e-14
nAromAtom       1.317e-08   3.75e-09      3.511      0.002    5.43e-09    2.09e-08
nAromBond       1.317e-08   3.75e-09      3.509      0.002    5.42e-09    2.09e-08
nAtom           -9.36e-06   3.09e-06     -3.033      0.006   -1.57e-05   -2.99e-06
nHeavyAtom     -2.196e-09   6.26e-10     -3.508      0.002   -3.49e-09   -9.04e-10
nSpiro          6.465e-12   1.33e-11      0.488      0.630   -2.09e-11    3.38e-11
nBridgehead     3.849e-12   2.18e-12      1.766      0.090   -6.49e-13    8.35e-12
nHetero        -5.405e-06   8.16e-06     -0.663      0.514   -2.22e-05    1.14e-05
nH             -9.358e-06   3.09e-06     -3.033      0.006   -1.57e-05   -2.99e-06
nB              4.616e-17   4.46e-17      1.035      0.311   -4.59e-17    1.38e-16
nC              5.402e-06   8.15e-06      0.662      0.514   -1.14e-05    2.22e-05
nN              -3.95e-06   1.23e-05     -0.321      0.751   -2.94e-05    2.15e-05
nO             -2.361e-05   2.59e-05     -0.912      0.371   -7.71e-05    2.98e-05
nS              1.066e-05   1.32e-05      0.807      0.427   -1.66e-05    3.79e-05
nP             -4.456e-14   8.65e-14     -0.515      0.611   -2.23e-13    1.34e-13
nF              3.277e-05    1.8e-05      1.822      0.081   -4.35e-06    6.99e-05
nCl            -2.329e-05    1.8e-05     -1.296      0.207   -6.04e-05    1.38e-05
nBr             2.015e-06   9.37e-07      2.151      0.042    8.18e-08    3.95e-06
nI              5.172e-16   2.36e-16      2.192      0.038    3.03e-17       1e-15
nX               1.15e-05    7.6e-06      1.512      0.144    -4.2e-06    2.72e-05
ATS0dv             0.0009      0.000      2.136      0.043       3e-05       0.002
ATS1dv             0.0003      0.001      0.533      0.599      -0.001       0.001
ATS2dv             0.0003      0.001      0.393      0.698      -0.001       0.002
ATS3dv             0.0011      0.000      2.466      0.021       0.000       0.002
ATS4dv             0.0011      0.000      2.777      0.010       0.000       0.002
ATS5dv             0.0002      0.000      0.563      0.579      -0.000       0.001
ATS6dv            -0.0002      0.000     -0.532      0.600      -0.001       0.001
ATS7dv             0.0005      0.000      1.808      0.083   -6.51e-05       0.001
ATS8dv             0.0022      0.001      3.718      0.001       0.001       0.003
ATS0d           1.551e-05   1.57e-05      0.990      0.332   -1.68e-05    4.78e-05
ATS1d           5.122e-06   1.51e-05      0.340      0.737    -2.6e-05    3.62e-05
ATS2d           7.848e-05    2.9e-05      2.705      0.012    1.86e-05       0.000
ATS3d           5.051e-05   1.93e-05      2.618      0.015    1.07e-05    9.03e-05
ATS4d           1.691e-05   4.62e-05      0.366      0.718   -7.84e-05       0.000
ATS5d          -8.315e-06    6.7e-05     -0.124      0.902      -0.000       0.000
ATS6d          -4.418e-05    3.5e-05     -1.262      0.219      -0.000    2.81e-05
ATS7d           4.677e-05   6.76e-05      0.692      0.496   -9.28e-05       0.000
ATS8d          -5.556e-05   1.81e-05     -3.064      0.005    -9.3e-05   -1.81e-05
ATS0Z             -0.0004      0.000     -1.196      0.243      -0.001       0.000
ATS1Z              0.0004      0.000      1.012      0.322      -0.000       0.001
ATS2Z             -0.0003      0.000     -0.862      0.397      -0.001       0.000
ATS3Z              0.0006      0.000      1.616      0.119      -0.000       0.001
ATS4Z              0.0006      0.000      2.644      0.014       0.000       0.001
ATS5Z              0.0008      0.000      1.841      0.078   -9.11e-05       0.002
ATS6Z             -0.0012      0.001     -2.374      0.026      -0.002      -0.000
ATS7Z             -0.0011      0.001     -0.877      0.389      -0.004       0.001
ATS8Z              0.0002      0.000      0.966      0.344      -0.000       0.001
ATS0m              0.0003      0.002      0.184      0.855      -0.003       0.004
ATS1m              0.0021      0.002      1.366      0.185      -0.001       0.005
ATS2m             -0.0011      0.002     -0.561      0.580      -0.005       0.003
ATS3m              0.0030      0.002      1.595      0.124      -0.001       0.007
ATS4m              0.0033      0.001      3.255      0.003       0.001       0.005
ATS5m              0.0043      0.001      2.944      0.007       0.001       0.007
ATS6m             -0.0047      0.003     -1.730      0.096      -0.010       0.001
ATS7m             -0.0034      0.005     -0.694      0.494      -0.013       0.007
ATS8m              0.0017      0.002      0.911      0.371      -0.002       0.006
ATS0v             -0.0022      0.002     -1.280      0.213      -0.006       0.001
ATS1v              0.0010      0.001      1.616      0.119      -0.000       0.002
ATS2v              0.0001      0.001      0.143      0.888      -0.002       0.002
ATS3v              0.0008      0.002      0.354      0.727      -0.004       0.005
ATS4v              0.0022      0.001      2.007      0.056   -6.26e-05       0.004
ATS5v              0.0005      0.001      0.383      0.705      -0.002       0.003
ATS6v             -0.0059      0.002     -2.779      0.010      -0.010      -0.002
ATS7v             -0.0019      0.001     -1.392      0.177      -0.005       0.001
ATS8v              0.0048      0.003      1.836      0.079      -0.001       0.010
ATS0se         -2.051e-05   5.34e-05     -0.384      0.704      -0.000    8.96e-05
ATS1se            -0.0001   6.45e-05     -1.800      0.084      -0.000     1.7e-05
ATS2se            -0.0002      0.000     -0.883      0.386      -0.001       0.000
ATS3se             0.0001      0.000      0.585      0.564      -0.000       0.001
ATS4se         -1.751e-05      0.000     -0.172      0.865      -0.000       0.000
ATS5se         -8.006e-05      0.000     -0.587      0.563      -0.000       0.000
ATS6se            -0.0001      0.000     -0.627      0.537      -0.000       0.000
ATS7se          -8.64e-05      0.000     -0.567      0.576      -0.000       0.000
ATS8se          8.427e-05   9.11e-05      0.925      0.364      -0.000       0.000
ATS0pe          4.906e-05   4.49e-05      1.093      0.285   -4.36e-05       0.000
ATS1pe         -8.683e-05   4.45e-05     -1.950      0.063      -0.000    5.07e-06
ATS2pe            -0.0001      0.000     -0.914      0.370      -0.000       0.000
ATS3pe             0.0002      0.000      1.441      0.163   -9.77e-05       0.001
ATS4pe          8.021e-05   5.87e-05      1.367      0.184   -4.09e-05       0.000
ATS5pe          1.373e-06      0.000      0.012      0.990      -0.000       0.000
ATS6pe         -2.092e-05      0.000     -0.143      0.887      -0.000       0.000
ATS7pe         -4.295e-05      0.000     -0.387      0.702      -0.000       0.000
ATS8pe             0.0002   8.54e-05      2.123      0.044    5.04e-06       0.000
ATS0are            0.0001   7.62e-05      1.377      0.181   -5.24e-05       0.000
ATS1are         -7.84e-05   4.75e-05     -1.650      0.112      -0.000    1.96e-05
ATS2are           -0.0001      0.000     -0.871      0.392      -0.000       0.000
ATS3are            0.0003      0.000      2.320      0.029    3.43e-05       0.001
ATS4are            0.0001   8.28e-05      1.775      0.089   -2.39e-05       0.000
ATS5are         4.254e-05      0.000      0.332      0.742      -0.000       0.000
ATS6are         4.853e-05      0.000      0.300      0.767      -0.000       0.000
ATS7are        -5.935e-06      0.000     -0.051      0.960      -0.000       0.000
ATS8are            0.0002      0.000      2.027      0.054   -4.46e-06       0.000
ATS0p          -1.163e-06   2.98e-05     -0.039      0.969   -6.27e-05    6.03e-05
ATS1p             2.7e-05    3.8e-05      0.711      0.484   -5.14e-05       0.000
ATS2p           8.116e-06   4.93e-05      0.165      0.871   -9.36e-05       0.000
ATS3p          -5.985e-05   1.65e-05     -3.627      0.001   -9.39e-05   -2.58e-05
ATS4p          -9.049e-06   7.19e-06     -1.258      0.221   -2.39e-05     5.8e-06
ATS5p          -2.595e-05   3.82e-05     -0.680      0.503      -0.000    5.28e-05
ATS6p          -4.808e-05    2.2e-05     -2.181      0.039   -9.36e-05   -2.58e-06
ATS7p          -3.584e-05   2.35e-05     -1.526      0.140   -8.43e-05    1.26e-05
ATS8p           2.746e-05   4.15e-05      0.662      0.515   -5.82e-05       0.000
ATS0i              0.0012      0.002      0.704      0.488      -0.002       0.005
ATS1i             -0.0017      0.001     -1.643      0.113      -0.004       0.000
ATS2i             -0.0023      0.001     -2.040      0.053      -0.005    2.69e-05
ATS3i              0.0036      0.003      1.220      0.234      -0.003       0.010
ATS4i              0.0005      0.002      0.210      0.836      -0.005       0.006
ATS5i             -0.0032      0.001     -2.193      0.038      -0.006      -0.000
ATS6i              0.0009      0.003      0.273      0.787      -0.006       0.007
ATS7i              0.0013      0.002      0.582      0.566      -0.003       0.006
ATS8i          -1.459e-05      0.001     -0.019      0.985      -0.002       0.002
AATS0dv        -4.652e-05      0.000     -0.156      0.877      -0.001       0.001
AATS1dv        -2.574e-05      0.000     -0.149      0.883      -0.000       0.000
AATS2dv        -5.209e-05      0.000     -0.487      0.630      -0.000       0.000
AATS3dv        -5.587e-05      0.000     -0.317      0.754      -0.000       0.000
AATS4dv        -4.353e-05      0.000     -0.221      0.827      -0.000       0.000
AATS5dv         -4.39e-05   9.09e-05     -0.483      0.633      -0.000       0.000
AATS6dv        -1.015e-05      0.000     -0.095      0.925      -0.000       0.000
AATS7dv        -1.321e-05      0.000     -0.067      0.947      -0.000       0.000
AATS8dv           -0.0001      0.000     -0.310      0.759      -0.001       0.001
AATS0d          1.933e-06   1.44e-05      0.134      0.895   -2.79e-05    3.17e-05
