Descriptor                  coef    stderr          t      pvals      y      z
ABCGG          -0.0014      0.004     -0.321      0.751      -0.011       0.008
nAromAtom      -0.0119      0.020     -0.608      0.549      -0.052       0.029
nAromBond      -0.0119      0.020     -0.608      0.549      -0.052       0.029
nAtom           0.0014      0.005      0.270      0.790      -0.009       0.012
nHeavyAtom      0.0012      0.003      0.433      0.669      -0.004       0.007
nH              0.0003      0.006      0.042      0.967      -0.012       0.013
nBr         -6.698e-05      0.001     -0.105      0.917      -0.001       0.001
nI           2.292e-14   2.48e-13      0.093      0.927   -4.88e-13    5.34e-13
ATS0dv         -0.0934      0.070     -1.338      0.193      -0.238       0.051
ATS3dv          0.0152      0.123      0.123      0.903      -0.239       0.269
ATS4dv          0.0957      0.151      0.633      0.533      -0.216       0.408
ATS8dv          0.0111      0.091      0.122      0.904      -0.176       0.199
ATS2d          -0.0400      0.097     -0.414      0.683      -0.239       0.159
ATS3d          -0.0297      0.085     -0.349      0.730      -0.205       0.146
ATS8d          -0.0553      0.173     -0.320      0.752      -0.412       0.302
ATS4Z           0.0528      0.087      0.606      0.550      -0.127       0.233
ATS6Z           0.0064      0.043      0.149      0.883      -0.083       0.096
ATS4m          -0.0398      0.077     -0.517      0.610      -0.198       0.119
ATS5m           0.0268      0.058      0.461      0.649      -0.093       0.147
ATS6v          -0.0010      0.005     -0.200      0.843      -0.011       0.009
ATS8pe         -0.0343      0.123     -0.279      0.783      -0.288       0.220
ATS3are         0.0320      0.142      0.225      0.824      -0.262       0.326
ATS3p          -0.0146      0.053     -0.275      0.786      -0.124       0.095
ATS6p           0.0060      0.018      0.326      0.748      -0.032       0.044
ATS5i          -0.0028      0.011     -0.251      0.804      -0.026       0.021
AATS8d         -0.0021      0.003     -0.652      0.521      -0.009       0.004
AATS2Z          0.0143      0.026      0.562      0.579      -0.038       0.067
AATS8Z         -0.0085      0.058     -0.145      0.886      -0.129       0.112
AATS8m         -0.0489      0.192     -0.255      0.801      -0.445       0.347
AATS1v         -0.0124      0.125     -0.099      0.922      -0.271       0.246
AATS2v          0.0708      0.042      1.698      0.102      -0.015       0.157
AATS3v         -0.0211      0.123     -0.172      0.865      -0.274       0.232
AATS5v         -0.0012      0.036     -0.034      0.973      -0.075       0.072
AATS8v         -0.0611      0.147     -0.415      0.681      -0.364       0.242
ATSC1Z          0.0114      0.011      1.085      0.289      -0.010       0.033
ATSC2Z          0.0050      0.072      0.069      0.945      -0.143       0.153
ATSC3Z          0.0937      0.077      1.220      0.234      -0.065       0.252
ATSC5Z         -0.0027      0.018     -0.151      0.881      -0.039       0.034
ATSC7Z         -0.0797      0.164     -0.487      0.631      -0.418       0.258
ATSC0m          0.0012      0.004      0.299      0.767      -0.007       0.009
ATSC1m          0.0655      0.026      2.526      0.019       0.012       0.119
ATSC2m          0.0002      0.047      0.004      0.997      -0.096       0.096
ATSC5m         -0.0209      0.047     -0.447      0.659      -0.118       0.076
ATSC7m          0.0172      0.020      0.879      0.388      -0.023       0.058
ATSC2v          0.0059      0.037      0.160      0.874      -0.070       0.082
ATSC3v         -0.0066      0.036     -0.182      0.857      -0.081       0.068
ATSC4v         -0.0136      0.031     -0.444      0.661      -0.077       0.050
ATSC5v          0.0079      0.024      0.327      0.746      -0.042       0.058
ATSC8pe        -0.0149      0.041     -0.360      0.722      -0.101       0.071
ATSC0are       -0.0034      0.036     -0.094      0.926      -0.077       0.071
ATSC8are       -0.0119      0.034     -0.355      0.726      -0.081       0.058
AATSC1c      1.186e-05   3.19e-05      0.372      0.713   -5.39e-05    7.76e-05
AATSC2d         0.0003      0.001      0.305      0.763      -0.002       0.002
AATSC4d        -0.0003      0.001     -0.268      0.791      -0.003       0.002
AATSC5d         0.0003      0.000      0.636      0.531      -0.001       0.001
AATSC7d        -0.0005      0.001     -0.347      0.732      -0.004       0.003
AATSC1Z        -0.0003      0.000     -1.176      0.251      -0.001       0.000
AATSC4Z        -0.0082      0.008     -0.978      0.338      -0.026       0.009
AATSC8Z        -0.0100      0.016     -0.625      0.538      -0.043       0.023
AATSC4m        -0.0351      0.028     -1.272      0.216      -0.092       0.022
AATSC8m        -0.0550      0.033     -1.678      0.106      -0.123       0.013
AATSC1v         0.0192      0.022      0.893      0.381      -0.025       0.064
AATSC3v         0.0037      0.041      0.089      0.929      -0.081       0.088
AATSC5v        -0.0281      0.080     -0.352      0.728      -0.193       0.137
AATSC6v         0.0180      0.029      0.629      0.536      -0.041       0.077
AATSC8v        -0.0187      0.170     -0.110      0.913      -0.370       0.333
AATSC5se    -6.355e-06   5.82e-05     -0.109      0.914      -0.000       0.000
AATSC5are   -4.695e-06      0.000     -0.031      0.976      -0.000       0.000
AATSC0p      6.903e-05      0.000      0.225      0.824      -0.001       0.001
AATSC1p         0.0003      0.000      0.880      0.387      -0.000       0.001
MATS1c          0.0001      0.000      0.693      0.495      -0.000       0.001
MATS2d         -0.0002      0.000     -0.629      0.536      -0.001       0.000
MATS4d       8.798e-06      0.001      0.014      0.989      -0.001       0.001
MATS5d          0.0003      0.000      2.136      0.043    9.55e-06       0.001
MATS7d         -0.0001      0.001     -0.242      0.811      -0.001       0.001
MATS5Z         -0.0006      0.002     -0.276      0.785      -0.005       0.004
MATS8Z         -0.0007      0.001     -0.502      0.620      -0.004       0.002
MATS8m         -0.0008      0.002     -0.481      0.635      -0.004       0.003
MATS5v         -0.0008      0.001     -0.993      0.330      -0.003       0.001
MATS6v          0.0007      0.001      0.491      0.628      -0.002       0.004
MATS8v         -0.0006      0.003     -0.206      0.839      -0.007       0.006
MATS5se        -0.0002      0.000     -0.349      0.730      -0.001       0.001
MATS1p          0.0008      0.001      0.794      0.435      -0.001       0.003
GATS1c         -0.0006      0.001     -0.591      0.560      -0.003       0.001
GATS3c         -0.0009      0.002     -0.431      0.671      -0.005       0.003
GATS4c         -0.0006      0.000     -1.895      0.070      -0.001    4.95e-05
GATS5c         -0.0005      0.001     -0.462      0.648      -0.003       0.002
GATS1d         -0.0003      0.002     -0.187      0.853      -0.004       0.003
GATS2d          0.0005      0.002      0.319      0.752      -0.003       0.004
GATS4d         -0.0010      0.002     -0.529      0.602      -0.005       0.003
GATS5d         -0.0003      0.001     -0.613      0.546      -0.001       0.001
GATS7d         -0.0004      0.003     -0.161      0.873      -0.006       0.005
GATS8d         -0.0018      0.004     -0.475      0.639      -0.010       0.006
GATS5Z          0.0004      0.003      0.128      0.899      -0.006       0.007
GATS5m          0.0005      0.003      0.165      0.870      -0.005       0.006
GATS5v          0.0005      0.003      0.189      0.852      -0.005       0.006
GATS8v       8.519e-06      0.005      0.002      0.999      -0.009       0.009
